Date,Workstream,Overall,Baseline
2023-11-03,TRC,12.40%,12.36%
2023-11-10,TRC,12.78%,13.07%
2023-11-17,TRC,12.91%,13.09%
2023-11-24,TRC,12.99%,13.24%
2023-12-01,TRC,13.70%,13.28%
2023-12-08,TRC,13.70%,13.33%
2023-12-15,TRC,13.79%,13.66%
2023-12-22,TRC,15.52%,16.43%
2023-12-29,TRC,15.77%,16.50%
2024-01-05,TRC,16.11%,16.66%
2024-01-12,TRC,17.22%,17.91%
2024-01-19,TRC,17.20%,18.01%
2024-01-26,TRC,20.74%,19.26%
2024-02-02,TRC,21.66%,20.05%
2024-02-09,TRC,22.47%,20.14%
2024-02-16,TRC,22.83%,20.35%
2024-02-23,TRC,22.83%,20.50%
2024-03-01,TRC,24.47%,21.38%
2024-03-08,TRC,24.00%,21.62%
2024-03-15,TRC,26.15%,21.86%
2024-03-22,TRC,27.32%,22.11%
2024-03-29,TRC,27.72%,22.28%
2024-04-05,TRC,28.25%,23.84%
2024-04-12,TRC,28.52%,24.30%
2024-04-19,TRC,28.87%,28.01%
2024-04-26,TRC,31.69%,29.01%
2024-05-03,TRC,35.50%,30.48%
2024-05-10,TRC,39.08%,34.41%
2024-05-17,TRC,40.53%,38.28%
2024-05-24,TRC,43.15%,40.74%
2024-05-31,TRC,45.99%,44.02%
2024-06-07,TRC,50.37%,50.66%
2024-06-14,TRC,55.15%,54.77%
2024-06-21,TRC,59.51%,57.42%
2024-06-28,TRC,64.17%,59.92%
2024-07-05,TRC,64.80%,61.77%
